Iter,Time,Size
0,0.002075,1000
0,0.002748,10000
0,0.003349,100000
0,0.003948,1000000
1,0.001933,1000
1,0.002649,10000
1,0.003117,100000
1,0.006338,1000000
2,0.001953,1000
2,0.002597,10000
2,0.003131,100000
2,0.00395,1000000
3,0.001942,1000
3,0.002572,10000
3,0.003052,100000
3,0.00401,1000000
4,0.001994,1000
4,0.002587,10000
4,0.003173,100000
4,0.003809,1000000
5,0.001903,1000
5,0.002585,10000
5,0.003187,100000
5,0.007798,1000000
6,0.001908,1000
6,0.00253,10000
6,0.003097,100000
6,0.004074,1000000
7,0.001898,1000
7,0.002575,10000
7,0.00347,100000
7,0.004019,1000000
8,0.001959,1000
8,0.002623,10000
8,0.003342,100000
8,0.004302,1000000
9,0.001971,1000
9,0.002657,10000
9,0.003518,100000
9,0.00408,1000000
