Iter,Time,Size
0,0.010423,1000
0,0.090254,10000
0,0.870406,100000
0,9.21135,1000000
1,0.010128,1000
1,0.08921,10000
1,0.868854,100000
1,9.23918,1000000
2,0.014042,1000
2,0.08762,10000
2,0.867277,100000
2,9.2726,1000000
3,0.010119,1000
3,0.088146,10000
3,0.865747,100000
3,9.21417,1000000
4,0.010055,1000
4,0.094971,10000
4,0.874576,100000
4,9.24254,1000000
5,0.00994,1000
5,0.08974,10000
5,0.868413,100000
5,9.27198,1000000
6,0.010008,1000
6,0.094572,10000
6,0.867124,100000
6,9.20011,1000000
7,0.010394,1000
7,0.088153,10000
7,0.880001,100000
7,9.23092,1000000
8,0.010052,1000
8,0.090336,10000
8,0.871739,100000
8,9.21157,1000000
9,0.010347,1000
9,0.09015,10000
9,0.877852,100000
9,9.22121,1000000
